assay_chembl_id,assay_retrieved,assay_type_api,assay_description,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,bao_format,bao_label_api,confidence_score,target_chembl_id_api,relationship_type,document_chembl_id_api,src_assay_id,assay_category,assay_tax_id
CHEMBL5699573,TRUE,B,Inhibition of EEF1A1 (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
CHEMBL5699596,TRUE,B,Inhibition of RPS3A (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5696440,,,9606
CHEMBL5699686,TRUE,B,Inhibition of EEF1G (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5696440,,,9606
CHEMBL5699920,TRUE,B,Inhibition of RPS3 (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5696440,,,9606
CHEMBL5700273,TRUE,B,Inhibition of EEF1A1 (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
CHEMBL5700296,TRUE,B,Inhibition of RPS3A (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5696440,,,9606
CHEMBL5700386,TRUE,B,Inhibition of EEF1G (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5696440,,,9606
CHEMBL5700620,TRUE,B,Inhibition of RPS3 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6066939,D,CHEMBL5696440,,,9606
CHEMBL5700973,TRUE,B,Inhibition of EEF1A1 (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL1795120,D,CHEMBL5696440,,,9606
CHEMBL5700996,TRUE,B,Inhibition of RPS3A (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL6067564,D,CHEMBL5696440,,,9606
CHEMBL5701086,TRUE,B,Inhibition of EEF1G (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,Homo sapiens,,,,BAO_0000357,single protein format,9,CHEMBL4295735,D,CHEMBL5696440,,,9606
