ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-376176,Signaling by ROBO receptors,8/18,199/11287,0.04020100502512563,25.208263539921827,13.769784840069104,3.0521549894077007e-10,1.3179760181533254e-9,5.841444955804212e-10,RPL4/RPL18A/RPL3/RPL7/ETF1/RPS3/RPS3A/RPS2,8
R-HSA-168273,Influenza Viral RNA Transcription and Replication,7/18,129/11287,0.05426356589147287,34.02627045650301,15.077342336587709,6.198911881653766e-10,2.5604201250309032e-9,1.1348122437810099e-9,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-9948299,Ribosome-associated quality control,7/18,137/11287,0.051094890510948905,32.03933495539335,14.608271894414077,9.473475740685093e-10,3.74991748068785e-9,1.6620132878394902e-9,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-71291,Metabolism of amino acids and derivatives,9/18,357/11287,0.025210084033613446,15.80812324929972,11.362859417811462,1.0836113159876254e-9,4.117723000752976e-9,1.8250295848212636e-9,RPL4/RPL18A/RPL3/RPL7/PAPSS1/RPS3/PAPSS2/RPS3A/RPS2,9
R-HSA-9711097,Cellular response to starvation,7/18,150/11287,0.04666666666666667,29.262592592592593,13.926343528446827,1.7913969957173064e-9,6.545489022813235e-9,2.9010477663438164e-9,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,7/18,167/11287,0.041916167664670656,26.283765801729874,13.155615956658947,3.7981126479016635e-9,1.336372968706141e-8,5.92298268678622e-9,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-8868773,rRNA processing in the nucleus and cytosol,7/18,177/11287,0.03954802259887006,24.79880728185813,12.75405783349455,5.698801273832669e-9,1.9335218607646554e-8,8.569625975688225e-9,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-72312,rRNA processing,7/18,194/11287,0.03608247422680412,22.625715922107677,12.142565037293526,1.0785253390151229e-8,3.5331002484978165e-8,1.5659170076444617e-8,RPL4/RPL18A/RPL3/RPL7/RPS3/RPS3A/RPS2,7
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,4/18,37/11287,0.10810810810810811,67.78978978978978,16.26291018291859,2.8936678801931007e-7,9.163281620611485e-7,4.0612882529025974e-7,EEF1A1/RPS3/RPS3A/RPS2,4
R-HSA-9692914,SARS-CoV-1-host interactions,4/18,95/11287,0.042105263157894736,26.402339181286546,9.9367702507735,1.3166012677431805e-5,4.034745820503295e-5,1.7882529952369175e-5,EEF1A1/RPS3/RPS3A/RPS2,4
R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,4/18,96/11287,0.041666666666666664,26.127314814814817,9.881226074103724,1.3724771124243215e-5,4.0745414275097046e-5,1.805890937400423e-5,RPL4/RPL18A/RPL3/RPL7,4
R-HSA-9678108,SARS-CoV-1 Infection,4/18,141/11287,0.028368794326241134,17.788810086682428,8.017399773820847,6.232485826989185e-5,1.7942004653453714e-4,7.95213502646148e-5,EEF1A1/RPS3/RPS3A/RPS2,4
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,3/18,51/11287,0.058823529411764705,36.885620915032675,10.26510211324787,6.760996001689443e-5,1.8891018240014618e-4,8.372750466488473e-5,RPS3/RPS3A/RPS2,3
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",3/18,52/11287,0.057692307692307696,36.17628205128205,10.160817579655925,7.167779950873673e-5,1.9455402723799972e-4,8.622893173983367e-5,RPS3/RPS3A/RPS2,3
