"metric","count"
"Quantitative records before correction",39
"Corrected evidence records",23
"Corrected compound-protein graph edges",23
"Kd/ED50 duplicate groups collapsed",16
"Relationship: BINDS_TO",19
"Relationship: HAS_INHIBITORY_ACTIVITY_AGAINST",4
