stitch_flat_id,label_umls_id,detection_method,label_concept_name,meddra_concept_type,meddra_umls_id,indication_name,sider_version,candidate_name
CID100002118,C0234233,text_mention,Sore to touch,PT,C0234233,Tenderness,4.1,alprazolam
CID100002118,C0233494,text_mention,Tension,PT,C0233494,Tension,4.1,alprazolam
CID100002118,C0234369,text_mention,Trembling,PT,C0040822,Tremor,4.1,alprazolam
CID100005291,C0023449,NLP_indication,Acute lymphocytic leukemia,PT,C0023449,Acute lymphocytic leukaemia,4.1,imatinib
CID100005291,C0005699,NLP_indication,Blast Phase,PT,C0005699,Blast cell crisis,4.1,imatinib
CID100005291,C0018802,NLP_precondition,Congestive heart failure,PT,C0018802,Cardiac failure congestive,4.1,imatinib
CID100005291,C0856536,NLP_indication,Philadelphia chromosome positive,PT,C0476431,Chromosome analysis abnormal,4.1,imatinib
CID100005291,C0346421,text_mention,Chronic eosinophilic leukemia,PT,C0346421,Chronic eosinophilic leukaemia,4.1,imatinib
CID100005291,C0023473,NLP_indication,"Myeloid Leukemia, Chronic",PT,C0023473,Chronic myeloid leukaemia,4.1,imatinib
CID100005291,C0392784,NLP_indication,Dermatofibrosarcoma Protuberans,PT,C0392784,Dermatofibrosarcoma protuberans,4.1,imatinib
CID100005291,C0238198,text_mention,Gastrointestinal Stromal Tumors,PT,C0238198,Gastrointestinal stromal tumour,4.1,imatinib
CID100005291,C1540912,NLP_indication,Hypereosinophilic syndrome,PT,C1540912,Hypereosinophilic syndrome,4.1,imatinib
CID100005291,C0009450,NLP_precondition,Communicable Diseases,PT,C0009450,Infection,4.1,imatinib
CID100005291,C0023418,NLP_precondition,leukemia,PT,C0023418,Leukaemia,4.1,imatinib
CID100005291,C0027947,NLP_precondition,Neutropenia,PT,C0027947,Neutropenia,4.1,imatinib
CID100005291,C0032227,NLP_precondition,Pleural effusion disorder,PT,C0032227,Pleural effusion,4.1,imatinib
CID100005291,C0035078,NLP_precondition,Kidney Failure,PT,C0035078,Renal failure,4.1,imatinib
CID100005291,C0221013,NLP_indication,"Mastocytosis, Systemic",PT,C0221013,Systemic mastocytosis,4.1,imatinib
CID100644241,C0856536,NLP_indication,Philadelphia chromosome positive,PT,C0476431,Chromosome analysis abnormal,4.1,nilotinib
CID100644241,C0023473,NLP_indication,"Myeloid Leukemia, Chronic",PT,C0023473,Chronic myeloid leukaemia,4.1,nilotinib
CID124826799,C0023449,NLP_indication,Acute lymphocytic leukemia,PT,C0023449,Acute lymphocytic leukaemia,4.1,ponatinib
CID124826799,C0005699,NLP_indication,Blast Phase,PT,C0005699,Blast cell crisis,4.1,ponatinib
CID124826799,C0856536,NLP_indication,Philadelphia chromosome positive,PT,C0476431,Chromosome analysis abnormal,4.1,ponatinib
CID124826799,C0023473,NLP_indication,"Myeloid Leukemia, Chronic",PT,C0023473,Chronic myeloid leukaemia,4.1,ponatinib
CID124826799,C0011849,NLP_precondition,Diabetes Mellitus,PT,C0011849,Diabetes mellitus,4.1,ponatinib
CID124826799,C0020473,NLP_precondition,Hyperlipidemia,PT,C0020473,Hyperlipidaemia,4.1,ponatinib
CID124826799,C0020538,NLP_precondition,Hypertensive disease,PT,C0020538,Hypertension,4.1,ponatinib
CID124826799,C0022116,NLP_precondition,Ischemia,PT,C0022116,Ischaemia,4.1,ponatinib
CID100005391,C0917801,NLP_indication,Sleeplessness,PT,C0917801,Insomnia,4.1,temazepam
CID100005391,C0541798,text_mention,Early Awakening,PT,C0541798,Terminal insomnia,4.1,temazepam
CID100005556,C0917801,NLP_indication,Sleeplessness,PT,C0917801,Insomnia,4.1,triazolam
