queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,standard_value_numeric,pchembl_value_numeric,has_numeric_value,has_molecule_id,is_nanomolar,is_exact_or_upper_bound,has_validity_warning,is_potential_duplicate,evidence_class,is_quantitative_concentration,is_inhibitory_measurement,is_binding_measurement,is_functional_measurement,evidence_tier,potency_band
EEF1G,CHEMBL4295735,,26218671,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.94,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,,Kd,nM,,11.42,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,,,Kd(app),nM,UO_0000065,,11.424,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,15.77,0.29,2.19,8.14,11.42,7.94,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,High apparent potency (>10 to 100 nM)
RPL18A,CHEMBL6067541,,26221701,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,ED50,nM,UO_0000065,,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,98.14,7.01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,High apparent potency (>10 to 100 nM)
RPL18A,CHEMBL6067541,,26221699,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,5.5,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,ED50,nM,UO_0000065,,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,3154.06,5.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Lower apparent potency (>1 to 10 uM)
RPL18A,CHEMBL6067541,,26221700,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,7.01,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,,Kd,nM,,98.14,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,Kd(app),nM,UO_0000065,,98.14,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,13.92,0.26,1.26,7.18,98.14,7.01,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,High apparent potency (>10 to 100 nM)
RPL18A,CHEMBL6067541,,26221698,,CHEMBL5652291,Binding affinity to human RPL18A incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,5.5,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,3154.06,CHEMBL6067541,Homo sapiens,Large ribosomal subunit protein eL20,9606,,,Kd(app),nM,UO_0000065,,3154.061,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,10.93,0.2,-0.25,5.64,3154.06,5.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Lower apparent potency (>1 to 10 uM)
RPL3,CHEMBL6066907,,26221741,,CHEMBL5652302,Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,5.58,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,2638.87,CHEMBL6066907,Homo sapiens,Large ribosomal subunit protein uL3,9606,,,ED50,nM,UO_0000065,,2638.869,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,2638.87,5.58,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Lower apparent potency (>1 to 10 uM)
RPL3,CHEMBL6066907,,26221739,,CHEMBL5652302,Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,4.98,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,,ED50,nM,,10412.18,CHEMBL6066907,Homo sapiens,Large ribosomal subunit protein uL3,9606,,,ED50,nM,UO_0000065,,10412.178,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,10412.18,4.98,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Weak apparent potency (>10 uM)
RPL3,CHEMBL6066907,,26221740,,CHEMBL5652302,Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,5.58,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,,Kd,nM,,2638.87,CHEMBL6066907,Homo sapiens,Large ribosomal subunit protein uL3,9606,,,Kd(app),nM,UO_0000065,,2638.869,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,11.08,0.21,-0.17,5.71,2638.87,5.58,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Lower apparent potency (>1 to 10 uM)
RPL3,CHEMBL6066907,,26221738,,CHEMBL5652302,Binding affinity to human RPL3 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL5653589,,CHEMBL5653589,4.98,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,,Kd,nM,,10412.18,CHEMBL6066907,Homo sapiens,Large ribosomal subunit protein uL3,9606,,,Kd(app),nM,UO_0000065,,10412.178,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,9.9,0.18,-0.77,5.1,10412.18,4.98,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Binding affinity,TRUE,FALSE,TRUE,FALSE,Tier 2: quantitative binding,Weak apparent potency (>10 uM)
RPL4,CHEMBL6066910,,26221775,,CHEMBL5652312,Binding affinity to human RPL4 incubated for 45 mins by Kinobead based pull down assay,B,,,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,,,CHEMBL5649169,ChemMedChem,2018,,CHEMBL3752910,,CHEMBL3752910,5.33,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,,ED50,nM,,4728.58,CHEMBL6066910,Homo sapiens,Large ribosomal subunit protein uL4,9606,,,ED50,nM,UO_0000065,,4728.576,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,,,,,4728.58,5.33,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Functional dose response,TRUE,FALSE,FALSE,TRUE,Tier 3: quantitative functional response,Lower apparent potency (>1 to 10 uM)
