queried_protein,queried_target_chembl_id,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,action_type.action_type,action_type.description,action_type.parent_type,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei
EEF1G,CHEMBL4295735,NA,26218669,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,9.31,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,1,=,NA,Kd,nM,NA,0.491,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,Kd(app),nM,UO_0000065,NA,0.491,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,18.49,0.34,3.56,9.54
EEF1G,CHEMBL4295735,NA,26218670,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL5653589,NA,CHEMBL5653589,9.31,0,http://www.openphacts.org/units/Nanomolar,4136306,=,72,0,=,NA,ED50,nM,NA,0.491,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,ED50,nM,UO_0000065,NA,0.491,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26218671,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0000034,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,7.94,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,1,=,NA,Kd,nM,NA,11.42,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,Kd(app),nM,UO_0000065,NA,11.424,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,15.77,0.29,2.19,8.14
EEF1G,CHEMBL4295735,NA,26218672,,CHEMBL5651330,Binding affinity to human EEF1G incubated for 45 mins by Kinobead based pull down assay,B,NA,NA,BAO_0003036,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,NA,NA,CHEMBL5649169,ChemMedChem,2018,NA,CHEMBL3752910,NA,CHEMBL3752910,7.94,0,http://www.openphacts.org/units/Nanomolar,4136305,=,72,0,=,NA,ED50,nM,NA,11.42,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,ED50,nM,UO_0000065,NA,11.424,BINDING AGENT,"Binds to a substance such as a cell surface antigen, targeting a drug to that location, but not necessarily affecting the functioning of the substance itself",OTHER,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26298719,,CHEMBL5697586,Inhibition of EEF1G (unknown origin) assessed as fold change at 10 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.618,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,FC,NA,NA,NA,0.618,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26299419,,CHEMBL5698286,Inhibition of EEF1G (unknown origin) assessed as fold change at 2 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.601,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,FC,NA,NA,NA,0.601,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26300119,,CHEMBL5698986,Inhibition of EEF1G (unknown origin) assessed as fold change at 0.4 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.728,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,FC,NA,NA,NA,0.728,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26300819,,CHEMBL5699686,Inhibition of EEF1G (unknown origin) assessed as fold change at 0.08 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.675,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,FC,NA,NA,NA,0.675,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26301519,,CHEMBL5700386,Inhibition of EEF1G (unknown origin) assessed as fold change at 0.016 uM incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000179,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,NA,0,NA,4139758,=,72,0,=,NA,FC,NA,NA,0.793,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,FC,NA,NA,NA,0.793,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,NA,NA,NA,NA
EEF1G,CHEMBL4295735,NA,26302219,,CHEMBL5701086,Inhibition of EEF1G (unknown origin) incubated for 1 hr by colloidal coomassie staining based LC-MS/MS analysis,B,NA,NA,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,NA,NA,CHEMBL5696440,Nature,2011,NA,CHEMBL1232461,MOLIBRESIB,CHEMBL1232461,5.37,0,http://www.openphacts.org/units/Nanomolar,4139758,=,72,1,=,NA,IC50,nM,NA,4300.0,CHEMBL4295735,Homo sapiens,Elongation factor 1-gamma,9606,NA,NA,IC50,uM,UO_0000065,NA,4.3,INHIBITOR,"Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway",NEGATIVE MODULATOR,12.66,0.24,1.71,6.59
