metric,value
network_node_count,103
network_edge_count,476
ranked_compound_node_count,6
ranked_compounds_mapped,6
ranked_compounds_unmapped,0
compound_nodes_with_embedded_details,6
compound_detail_record_count,16
commercial_product_record_count,11
compounds_with_public_vendor_information,11
detail_panel_enabled,TRUE
output_html_created,TRUE
