candidate_name,molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,matched_network_proteins,target_evidence_class,assay_chembl_id,document_chembl_id,standard_type,standard_relation,standard_value,standard_units,raw_activity_record_count,activity_ids,pchembl_values,assay_type,assay_description,assay_organism,confidence_score,document_title,doi,pubmed_id,potential_duplicate_present,validity_warning_present,human_assay,weak_30_micromolar_record,assay_metadata_available,document_metadata_available,independent_assay_count,independent_document_count,provenance_interpretation
imatinib,CHEMBL941,CHEMBL1741190,GTP-binding nuclear protein Ran,Homo sapiens,,other_target,CHEMBL3991866,CHEMBL3991601,Kd,>,30000,nM,1,17934862,,B,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",Homo sapiens,9,The target landscape of clinical kinase drugs.,10.1126/science.aan4368,29191878,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Chemical similarity only; network relationship not confirmed
nilotinib,CHEMBL255863,CHEMBL1741190,GTP-binding nuclear protein Ran,Homo sapiens,,other_target,CHEMBL3991866,CHEMBL3991601,Kd,>,30000,nM,1,17934802,,B,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",Homo sapiens,9,The target landscape of clinical kinase drugs.,10.1126/science.aan4368,29191878,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Chemical similarity only; network relationship not confirmed
ponatinib,CHEMBL1171837,CHEMBL1741190,GTP-binding nuclear protein Ran,Homo sapiens,,other_target,CHEMBL3991866,CHEMBL3991601,Kd,>,30000,nM,1,17934971,,B,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",Homo sapiens,9,The target landscape of clinical kinase drugs.,10.1126/science.aan4368,29191878,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Chemical similarity only; network relationship not confirmed
