stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version
CID100000085,CID000010917,C0011570,,6%,0.06,0.06,PT,C0011570,Depression,FALSE,4.1
CID100000085,CID000010917,C0011570,placebo,3%,0.03,0.03,PT,C0011570,Depression,TRUE,4.1
CID100000085,CID000010917,C0015230,,3%,0.03,0.03,PT,C0011603,Dermatitis,FALSE,4.1
CID100000085,CID000010917,C0015230,,5%,0.05,0.05,PT,C0011603,Dermatitis,FALSE,4.1
CID100000085,CID000010917,C0015230,placebo,3%,0.03,0.03,PT,C0011603,Dermatitis,TRUE,4.1
CID100000085,CID000010917,C0011991,,10%,0.1,0.1,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000085,CID000010917,C0011991,,16%,0.16,0.16,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000085,CID000010917,C0011991,,35%,0.35,0.35,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000085,CID000010917,C0011991,,9%,0.09,0.09,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000085,CID000010917,C0011991,placebo,19%,0.19,0.19,PT,C0011991,Diarrhoea,TRUE,4.1
CID100000085,CID000010917,C0012833,,10%,0.1,0.1,PT,C0012833,Dizziness,FALSE,4.1
CID100000085,CID000010917,C0012833,,13%,0.13,0.13,PT,C0012833,Dizziness,FALSE,4.1
CID100000085,CID000010917,C0012833,,15%,0.15,0.15,PT,C0012833,Dizziness,FALSE,4.1
CID100000085,CID000010917,C0012833,,18%,0.18,0.18,PT,C0012833,Dizziness,FALSE,4.1
CID100000085,CID000010917,C0012833,placebo,11%,0.11,0.11,PT,C0012833,Dizziness,TRUE,4.1
CID100000085,CID000010917,C1510472,,2%,0.02,0.02,PT,C1510472,Drug dependence,FALSE,4.1
CID100000085,CID000010917,C1510472,,6%,0.06,0.06,PT,C1510472,Drug dependence,FALSE,4.1
CID100000085,CID000010917,C1510472,placebo,2%,0.02,0.02,PT,C1510472,Drug dependence,TRUE,4.1
CID100000085,CID000010917,C0013378,,2%,0.02,0.02,PT,C0013378,Dysgeusia,FALSE,4.1
CID100000085,CID000010917,C0013378,,3%,0.03,0.03,PT,C0013378,Dysgeusia,FALSE,4.1
CID100000085,CID000010917,C0013378,,9%,0.09,0.09,PT,C0013378,Dysgeusia,FALSE,4.1
CID100000085,CID000010917,C0013395,,5%,0.05,0.05,PT,C0013395,Dyspepsia,FALSE,4.1
CID100000085,CID000010917,C0013395,,6%,0.06,0.06,PT,C0013395,Dyspepsia,FALSE,4.1
CID100000085,CID000010917,C0013395,,9%,0.09,0.09,PT,C0013395,Dyspepsia,FALSE,4.1
CID100000085,CID000010917,C0013395,placebo,10%,0.1,0.1,PT,C0013395,Dyspepsia,TRUE,4.1
CID100000085,CID000010917,C0013404,,11%,0.11,0.11,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000085,CID000010917,C0013404,,3%,0.03,0.03,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000085,CID000010917,C0013404,,7%,0.07,0.07,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000085,CID000010917,C0013404,placebo,19%,0.19,0.19,PT,C0013404,Dyspnoea,TRUE,4.1
CID100000085,CID000010917,C0522055,,2%,0.02,0.02,PT,C0522055,Electrocardiogram abnormal,FALSE,4.1
CID100000085,CID000010917,C0522055,,3%,0.03,0.03,PT,C0522055,Electrocardiogram abnormal,FALSE,4.1
CID100000085,CID000010917,C0522055,,6%,0.06,0.06,PT,C0522055,Electrocardiogram abnormal,FALSE,4.1
CID100000085,CID000010917,C0015397,,3%,0.03,0.03,PT,C0015397,Eye disorder,FALSE,4.1
CID100000085,CID000010917,C0015397,,6%,0.06,0.06,PT,C0015397,Eye disorder,FALSE,4.1
CID100000085,CID000010917,C0015397,placebo,3%,0.03,0.03,PT,C0015397,Eye disorder,TRUE,4.1
CID100000085,CID000010917,C0546817,,12%,0.12,0.12,PT,C0546817,Fluid overload,FALSE,4.1
CID100000085,CID000010917,C0546817,,3%,0.03,0.03,PT,C0546817,Fluid overload,FALSE,4.1
