stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version
CID100000772,CID000000772,C0241863,,postmarketing,0,0.001,PT,C0011849,Diabetes mellitus,FALSE,4.1
CID100000772,CID000000772,C0011991,,2.2%,0.022,0.022,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000772,CID000000772,C0011991,placebo,1.7%,0.017,0.017,PT,C0011991,Diarrhoea,TRUE,4.1
CID100000772,CID000000772,C0013404,,3.3%,0.033,0.033,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000772,CID000000772,C0013404,placebo,5.2%,0.052,0.052,PT,C0013404,Dyspnoea,TRUE,4.1
CID100000772,CID000000772,C0013491,,0%,0,0,PT,C0013491,Ecchymosis,FALSE,4.1
CID100000772,CID000000772,C0013491,,3%,0.03,0.03,PT,C0013491,Ecchymosis,FALSE,4.1
CID100000772,CID000000772,C0014457,,postmarketing,0,0.001,PT,C0014457,Eosinophilia,FALSE,4.1
CID100000772,CID000000772,C0009676,,2.2%,0.022,0.022,PT,C1443060,Feeling abnormal,FALSE,4.1
CID100000772,CID000000772,C0009676,placebo,1.1%,0.011,0.011,PT,C1443060,Feeling abnormal,TRUE,4.1
CID100000772,CID000000772,C0018944,,postmarketing,0,0.001,PT,C0018944,Haematoma,FALSE,4.1
CID100000772,CID000000772,C0018965,,0%,0,0,PT,C0018965,Haematuria,FALSE,4.1
CID100000772,CID000000772,C0018965,,1%,0,0.01,PT,C0018965,Haematuria,FALSE,4.1
CID100000772,CID000000772,C0018965,,2%,0.02,0.02,PT,C0018965,Haematuria,FALSE,4.1
CID100000772,CID000000772,C0019080,,0%,0,0,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,1%,0,0.01,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,1%,0.01,0.01,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,13%,0.13,0.13,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,2.07%,0.0207351,0.0207351,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,3%,0.03,0.03,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,4%,0.04,0.04,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,5%,0.05,0.05,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,6%,0.06,0.06,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,,7%,0.07,0.07,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000772,CID000000772,C0019080,placebo,0%,0,0,PT,C0518015,Haemoglobin,TRUE,4.1
CID100000772,CID000000772,C0019080,placebo,3%,0.03,0.03,PT,C0518015,Haemoglobin,TRUE,4.1
CID100000772,CID000000772,C0019080,,0%,0,0,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,1%,0,0.01,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,1%,0.01,0.01,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,13%,0.13,0.13,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,2.07%,0.0207351,0.0207351,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,3%,0.03,0.03,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,4%,0.04,0.04,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,5%,0.05,0.05,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,6%,0.06,0.06,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,,7%,0.07,0.07,PT,C0019080,Haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0019080,placebo,0%,0,0,PT,C0019080,Haemorrhage,TRUE,4.1
CID100000772,CID000000772,C0019080,placebo,3%,0.03,0.03,PT,C0019080,Haemorrhage,TRUE,4.1
CID100000772,CID000000772,C0151699,,0.825%,0.00825472,0.00825472,PT,C0151699,Haemorrhage intracranial,FALSE,4.1
CID100000772,CID000000772,C0948824,,postmarketing,0,0.001,PT,C0948824,Haemorrhagic anaemia,FALSE,4.1
CID100000772,CID000000772,C0018681,,postmarketing,0,0.001,PT,C0018681,Headache,FALSE,4.1
CID100000772,CID000000772,C0020461,,postmarketing,0,0.001,PT,C0020461,Hyperkalaemia,FALSE,4.1
CID100000772,CID000000772,C0020473,,postmarketing,0,0.001,PT,C0020473,Hyperlipidaemia,FALSE,4.1
CID100000772,CID000000772,C0020517,,postmarketing,0,0.001,PT,C0020517,Hypersensitivity,FALSE,4.1
CID100000772,CID000000772,C0020557,,postmarketing,0,0.001,PT,C0020557,Hypertriglyceridaemia,FALSE,4.1
CID100000772,CID000000772,C0021368,,postmarketing,0,0.001,PT,C0021368,Inflammation,FALSE,4.1
CID100000772,CID000000772,C0151698,,0%,0,0,PT,C0151698,Injection site haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0151698,,1%,0,0.01,PT,C0151698,Injection site haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0151698,,3%,0.03,0.03,PT,C0151698,Injection site haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0151698,,5%,0.05,0.05,PT,C0151698,Injection site haemorrhage,FALSE,4.1
CID100000772,CID000000772,C0151828,,0%,0,0,PT,C0151828,Injection site pain,FALSE,4.1
CID100000772,CID000000772,C0151828,,2%,0.02,0.02,PT,C0151828,Injection site pain,FALSE,4.1
CID100000772,CID000000772,C0853813,,postmarketing,0,0.001,PT,C0853813,Local reaction,FALSE,4.1
CID100000772,CID000000772,C0027497,,1%,0,0.01,PT,C0027497,Nausea,FALSE,4.1
CID100000772,CID000000772,C0027497,,2%,0.02,0.02,PT,C0027497,Nausea,FALSE,4.1
CID100000772,CID000000772,C0027497,,2.5%,0.025,0.025,PT,C0027497,Nausea,FALSE,4.1
CID100000772,CID000000772,C0027497,,3%,0.03,0.03,PT,C0027497,Nausea,FALSE,4.1
CID100000772,CID000000772,C0027497,placebo,0%,0,0,PT,C0027497,Nausea,TRUE,4.1
CID100000772,CID000000772,C0027497,placebo,1.7%,0.017,0.017,PT,C0027497,Nausea,TRUE,4.1
CID100000772,CID000000772,C0027497,placebo,2%,0.02,0.02,PT,C0027497,Nausea,TRUE,4.1
CID100000772,CID000000772,C0028259,,postmarketing,0,0.001,PT,C0028259,Nodule,FALSE,4.1
CID100000772,CID000000772,C0013604,,1%,0,0.01,PT,C0013604,Oedema,FALSE,4.1
CID100000772,CID000000772,C0013604,,2%,0.02,0.02,PT,C0013604,Oedema,FALSE,4.1
CID100000772,CID000000772,C0013604,placebo,0%,0,0,PT,C0013604,Oedema,TRUE,4.1
CID100000772,CID000000772,C0013604,placebo,2%,0.02,0.02,PT,C0013604,Oedema,TRUE,4.1
CID100000772,CID000000772,C0085649,,0%,0,0,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000772,CID000000772,C0085649,,1%,0,0.01,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000772,CID000000772,C0085649,,3%,0.03,0.03,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000772,CID000000772,C0085649,,4%,0.04,0.04,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000772,CID000000772,C0085649,,6%,0.06,0.06,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000772,CID000000772,C0085649,placebo,0%,0,0,PT,C0085649,Oedema peripheral,TRUE,4.1
CID100000772,CID000000772,C0085649,placebo,3%,0.03,0.03,PT,C0085649,Oedema peripheral,TRUE,4.1
CID100000772,CID000000772,C0029456,,postmarketing,0,0.001,PT,C0029456,Osteoporosis,FALSE,4.1
CID100000772,CID000000772,C0522224,,postmarketing,0,0.001,PT,C0522224,Paralysis,FALSE,4.1
CID100000772,CID000000772,C0032285,,0.824%,0.00823828,0.00823828,PT,C0032285,Pneumonia,FALSE,4.1
CID100000772,CID000000772,C0033774,,postmarketing,0,0.001,PT,C0033774,Pruritus,FALSE,4.1
CID100000772,CID000000772,C0034063,,0.697%,0.00697085,0.00697085,PT,C0034063,Pulmonary oedema,FALSE,4.1
CID100000772,CID000000772,C0034150,,postmarketing,0,0.001,PT,C0034150,Purpura,FALSE,4.1
CID100000772,CID000000772,C0151883,,postmarketing,0,0.001,PT,C0085641,Rash pustular,FALSE,4.1
CID100000772,CID000000772,C0036974,,postmarketing,0,0.001,PT,C0036974,Shock,FALSE,4.1
CID100000772,CID000000772,C0151799,,postmarketing,0,0.001,PT,C0237849,Skin exfoliation,FALSE,4.1
CID100000772,CID000000772,C0151799,,postmarketing,0,0.001,PT,C0151799,Skin necrosis,FALSE,4.1
CID100000772,CID000000772,C0856150,,postmarketing,0,0.001,PT,C0856150,Spinal haematoma,FALSE,4.1
CID100000772,CID000000772,C0040034,,1.5%,0.015,0.015,PT,C0040034,Thrombocytopenia,FALSE,4.1
CID100000772,CID000000772,C0040034,,2.8%,0.028,0.028,PT,C0040034,Thrombocytopenia,FALSE,4.1
CID100000772,CID000000772,C0040034,,postmarketing,0,0.001,PT,C0040034,Thrombocytopenia,FALSE,4.1
CID100000772,CID000000772,C0040034,placebo,2.8%,0.028,0.028,PT,C0040034,Thrombocytopenia,TRUE,4.1
CID100000772,CID000000772,C0836924,,postmarketing,0,0.001,PT,C0836924,Thrombocytosis,FALSE,4.1
CID100000772,CID000000772,C0040053,,postmarketing,0,0.001,PT,C0040053,Thrombosis,FALSE,4.1
CID100000772,CID000000772,C0042109,,postmarketing,0,0.001,PT,C0042109,Urticaria,FALSE,4.1
CID100000772,CID000000772,C0034150,,postmarketing,0,0.001,PT,C1368065,Vascular purpura,FALSE,4.1
CID100000772,CID000000772,C0042384,,postmarketing,0,0.001,PT,C0042384,Vasculitis,FALSE,4.1
CID100000813,CID000000813,C0232487,,postmarketing,0,0.001,PT,C0232487,Abdominal discomfort,FALSE,4.1
CID100000813,CID000000813,C2697368,,postmarketing,0,0.001,PT,C0232487,Abdominal discomfort,FALSE,4.1
CID100000813,CID000000813,C0011991,,postmarketing,0,0.001,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000813,CID000000813,C2129214,,postmarketing,0,0.001,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000813,CID000000813,C2697368,,postmarketing,0,0.001,PT,C2697368,Gastrointestinal tract irritation,FALSE,4.1
CID100000813,CID000000813,C0027497,,postmarketing,0,0.001,PT,C0027497,Nausea,FALSE,4.1
CID100000813,CID000000813,C0042963,,postmarketing,0,0.001,PT,C0042963,Vomiting,FALSE,4.1
CID100000861,CID000005920,C0039231,,3%,0.03,0.03,PT,C0039231,Tachycardia,FALSE,4.1
CID100000923,CID000000923,C1291077,,31%,0.31,0.31,PT,C0000731,Abdominal distension,FALSE,4.1
CID100000923,CID000000923,C1291077,,39%,0.39,0.39,PT,C0000731,Abdominal distension,FALSE,4.1
CID100000923,CID000000923,C1291077,,41%,0.41,0.41,PT,C0000731,Abdominal distension,FALSE,4.1
CID100000923,CID000000923,C1291077,,47%,0.47,0.47,PT,C0000731,Abdominal distension,FALSE,4.1
CID100000923,CID000000923,C1291077,,61%,0.61,0.61,PT,C0000731,Abdominal distension,FALSE,4.1
CID100000923,CID000000923,C0000737,,23%,0.23,0.23,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,24%,0.24,0.24,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,25%,0.25,0.25,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,30%,0.3,0.3,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,36%,0.36,0.36,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000923,CID000000923,C2747793,,postmarketing,0,0.001,PT,C2747793,Acute phosphate nephropathy,FALSE,4.1
CID100000923,CID000000923,C0002792,,postmarketing,0,0.001,PT,C0002792,Anaphylactic shock,FALSE,4.1
CID100000923,CID000000923,C0003811,,postmarketing,0,0.001,PT,C0003811,Arrhythmia,FALSE,4.1
CID100000923,CID000000923,C0151578,,postmarketing,0,0.001,PT,C0235431,Blood creatinine increased,FALSE,4.1
CID100000923,CID000000923,C0151539,,postmarketing,0,0.001,PT,C0151539,Blood urea increased,FALSE,4.1
CID100000923,CID000000923,C0006266,,postmarketing,0,0.001,PT,C0006266,Bronchospasm,FALSE,4.1
CID100000923,CID000000923,C0036572,,postmarketing,0,0.001,PT,C0036572,Convulsion,FALSE,4.1
CID100000923,CID000000923,C0015230,,postmarketing,0,0.001,PT,C0011603,Dermatitis,FALSE,4.1
CID100000923,CID000000923,C0011168,,postmarketing,0,0.001,PT,C0011168,Dysphagia,FALSE,4.1
CID100000923,CID000000923,C0013404,,postmarketing,0,0.001,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000923,CID000000923,C1291077,,31%,0.31,0.31,PT,C0016204,Flatulence,FALSE,4.1
CID100000923,CID000000923,C1291077,,39%,0.39,0.39,PT,C0016204,Flatulence,FALSE,4.1
CID100000923,CID000000923,C1291077,,41%,0.41,0.41,PT,C0016204,Flatulence,FALSE,4.1
CID100000923,CID000000923,C1291077,,47%,0.47,0.47,PT,C0016204,Flatulence,FALSE,4.1
CID100000923,CID000000923,C1291077,,61%,0.61,0.61,PT,C0016204,Flatulence,FALSE,4.1
CID100000923,CID000000923,C0000737,,23%,0.23,0.23,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,24%,0.24,0.24,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,25%,0.25,0.25,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,30%,0.3,0.3,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000923,CID000000923,C0000737,,36%,0.36,0.36,PT,C0687713,Gastrointestinal pain,FALSE,4.1
CID100000923,CID000000923,C0020517,,postmarketing,0,0.001,PT,C0020517,Hypersensitivity,FALSE,4.1
CID100000923,CID000000923,C0027497,,26%,0.26,0.26,PT,C0027497,Nausea,FALSE,4.1
CID100000923,CID000000923,C0027497,,30%,0.3,0.3,PT,C0027497,Nausea,FALSE,4.1
CID100000923,CID000000923,C0027497,,35%,0.35,0.35,PT,C0027497,Nausea,FALSE,4.1
CID100000923,CID000000923,C0027497,,37%,0.37,0.37,PT,C0027497,Nausea,FALSE,4.1
CID100000923,CID000000923,C0027497,,54%,0.54,0.54,PT,C0027497,Nausea,FALSE,4.1
CID100000923,CID000000923,C0027709,,postmarketing,0,0.001,PT,C0027709,Nephrocalcinosis,FALSE,4.1
CID100000923,CID000000923,C0030554,,postmarketing,0,0.001,PT,C0030554,Paraesthesia,FALSE,4.1
CID100000923,CID000000923,C0236024,,postmarketing,0,0.001,PT,C0236024,Pharyngeal oedema,FALSE,4.1
CID100000923,CID000000923,C0033774,,postmarketing,0,0.001,PT,C0033774,Pruritus,FALSE,4.1
CID100000923,CID000000923,C0015230,,postmarketing,0,0.001,PT,C0015230,Rash,FALSE,4.1
CID100000923,CID000000923,C1565489,,postmarketing,0,0.001,PT,C0035078,Renal failure,FALSE,4.1
CID100000923,CID000000923,C0022660,,postmarketing,0,0.001,PT,C0022660,Renal failure acute,FALSE,4.1
CID100000923,CID000000923,C1565489,,postmarketing,0,0.001,PT,C1565489,Renal impairment,FALSE,4.1
CID100000923,CID000000923,C1720775,,postmarketing,0,0.001,PT,C1720775,Renal tubular necrosis,FALSE,4.1
CID100000923,CID000000923,C0038999,,postmarketing,0,0.001,PT,C0038999,Swelling,FALSE,4.1
CID100000923,CID000000923,C0151602,,postmarketing,0,0.001,PT,C0151602,Swelling face,FALSE,4.1
CID100000923,CID000000923,C0236071,,postmarketing,0,0.001,PT,C0236071,Throat tightness,FALSE,4.1
CID100000923,CID000000923,C0042109,,postmarketing,0,0.001,PT,C0042109,Urticaria,FALSE,4.1
CID100000923,CID000000923,C0042963,,10%,0.1,0.1,PT,C0042963,Vomiting,FALSE,4.1
CID100000923,CID000000923,C0042963,,18%,0.18,0.18,PT,C0042963,Vomiting,FALSE,4.1
CID100000923,CID000000923,C0042963,,4%,0.04,0.04,PT,C0042963,Vomiting,FALSE,4.1
CID100000923,CID000000923,C0042963,,7%,0.07,0.07,PT,C0042963,Vomiting,FALSE,4.1
CID100000923,CID000000923,C0042963,,9%,0.09,0.09,PT,C0042963,Vomiting,FALSE,4.1
CID100000937,CID000000937,C0002792,,postmarketing,0,0.001,PT,C0002792,Anaphylactic shock,FALSE,4.1
CID100000937,CID000000937,C0002994,,postmarketing,0,0.001,PT,C0002994,Angioedema,FALSE,4.1
CID100000937,CID000000937,C0003811,,postmarketing,0,0.001,PT,C0003811,Arrhythmia,FALSE,4.1
CID100000937,CID000000937,C0003862,placebo,0%,0,0,PT,C0003862,Arthralgia,TRUE,4.1
CID100000937,CID000000937,C0003864,placebo,2%,0.02,0.02,PT,C0003864,Arthritis,TRUE,4.1
CID100000937,CID000000937,C0004093,,postmarketing,0,0.001,PT,C0004093,Asthenia,FALSE,4.1
CID100000937,CID000000937,C0004093,placebo,3%,0.03,0.03,PT,C0004093,Asthenia,TRUE,4.1
CID100000937,CID000000937,C0004238,,postmarketing,0,0.001,PT,C0004238,Atrial fibrillation,FALSE,4.1
CID100000937,CID000000937,C0015967,placebo,3%,0.03,0.03,PT,C0015967,Body temperature increased,TRUE,4.1
CID100000937,CID000000937,C0085624,,postmarketing,0,0.001,PT,C0085624,Burning sensation,FALSE,4.1
CID100000937,CID000000937,C0085593,placebo,1%,0.01,0.01,PT,C0085593,Chills,TRUE,4.1
CID100000937,CID000000937,C0010200,,2%,0,0.02,PT,C0010200,Cough,FALSE,4.1
CID100000937,CID000000937,C0010200,,2%,0.02,0.02,PT,C0010200,Cough,FALSE,4.1
CID100000937,CID000000937,C0010200,,8%,0.08,0.08,PT,C0010200,Cough,FALSE,4.1
CID100000937,CID000000937,C0010200,placebo,6%,0.06,0.06,PT,C0010200,Cough,TRUE,4.1
CID100000937,CID000000937,C0015230,,0%,0,0,PT,C0011603,Dermatitis,FALSE,4.1
CID100000937,CID000000937,C0015230,,5%,0.05,0.05,PT,C0011603,Dermatitis,FALSE,4.1
CID100000937,CID000000937,C0015230,placebo,1%,0.01,0.01,PT,C0011603,Dermatitis,TRUE,4.1
CID100000937,CID000000937,C0151883,,postmarketing,0,0.001,PT,C0085932,Dermatitis bullous,FALSE,4.1
CID100000937,CID000000937,C0011991,,10%,0.1,0.1,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000937,CID000000937,C0011991,,14%,0.14,0.14,PT,C0011991,Diarrhoea,FALSE,4.1
CID100000937,CID000000937,C0011991,placebo,13%,0.13,0.13,PT,C0011991,Diarrhoea,TRUE,4.1
CID100000937,CID000000937,C0012833,,postmarketing,0,0.001,PT,C0012833,Dizziness,FALSE,4.1
CID100000937,CID000000937,C0039070,,postmarketing,0,0.001,PT,C0012833,Dizziness,FALSE,4.1
CID100000937,CID000000937,C0043352,placebo,0%,0,0,PT,C0043352,Dry mouth,TRUE,4.1
CID100000937,CID000000937,C0151908,,postmarketing,0,0.001,PT,C0151908,Dry skin,FALSE,4.1
CID100000937,CID000000937,C0013395,placebo,12%,0.12,0.12,PT,C0013395,Dyspepsia,TRUE,4.1
CID100000937,CID000000937,C0013404,,postmarketing,0,0.001,PT,C0013404,Dyspnoea,FALSE,4.1
CID100000937,CID000000937,C0014724,,postmarketing,0,0.001,PT,C0014724,Eructation,FALSE,4.1
CID100000937,CID000000937,C0014724,placebo,1%,0.01,0.01,PT,C0014724,Eructation,TRUE,4.1
CID100000937,CID000000937,C0542571,,postmarketing,0,0.001,PT,C0542571,Face oedema,FALSE,4.1
CID100000937,CID000000937,C0016204,,postmarketing,0,0.001,PT,C0016204,Flatulence,FALSE,4.1
CID100000937,CID000000937,C0016382,,55%,0.55,0.55,PT,C0016382,Flushing,FALSE,4.1
CID100000937,CID000000937,C0016382,,63%,0.63,0.63,PT,C0016382,Flushing,FALSE,4.1
CID100000937,CID000000937,C0016382,,69%,0.69,0.69,PT,C0016382,Flushing,FALSE,4.1
CID100000937,CID000000937,C0016382,,postmarketing,0,0.001,PT,C0016382,Flushing,FALSE,4.1
CID100000937,CID000000937,C0151671,,postmarketing,0,0.001,PT,C0151671,Glucose tolerance decreased,FALSE,4.1
CID100000937,CID000000937,C0018099,,postmarketing,0,0.001,PT,C0018099,Gout,FALSE,4.1
CID100000937,CID000000937,C0019158,,postmarketing,0,0.001,PT,C0019158,Hepatitis,FALSE,4.1
CID100000937,CID000000937,C0038990,,postmarketing,0,0.001,PT,C0020458,Hyperhidrosis,FALSE,4.1
CID100000937,CID000000937,C0038990,placebo,1%,0.01,0.01,PT,C0020458,Hyperhidrosis,TRUE,4.1
CID100000937,CID000000937,C0020517,,postmarketing,0,0.001,PT,C0020517,Hypersensitivity,FALSE,4.1
CID100000937,CID000000937,C0020649,,postmarketing,0,0.001,PT,C0020649,Hypotension,FALSE,4.1
CID100000937,CID000000937,C0021400,placebo,5%,0.05,0.05,PT,C0021400,Influenza,TRUE,4.1
CID100000937,CID000000937,C0917801,,postmarketing,0,0.001,PT,C0917801,Insomnia,FALSE,4.1
CID100000937,CID000000937,C0022346,,postmarketing,0,0.001,PT,C0022346,Jaundice,FALSE,4.1
CID100000937,CID000000937,C0023052,,postmarketing,0,0.001,PT,C0023052,Laryngeal oedema,FALSE,4.1
CID100000937,CID000000937,C0023066,,postmarketing,0,0.001,PT,C0023066,Laryngospasm,FALSE,4.1
CID100000937,CID000000937,C0039070,,postmarketing,0,0.001,PT,C0041657,Loss of consciousness,FALSE,4.1
CID100000937,CID000000937,C0271051,,postmarketing,0,0.001,PT,C0271051,Macular oedema,FALSE,4.1
CID100000937,CID000000937,C0149931,,postmarketing,0,0.001,PT,C0149931,Migraine,FALSE,4.1
CID100000937,CID000000937,C0149931,placebo,1%,0.01,0.01,PT,C0149931,Migraine,TRUE,4.1
CID100000937,CID000000937,C0003862,placebo,0%,0,0,PT,C0948594,Musculoskeletal discomfort,TRUE,4.1
CID100000937,CID000000937,C0231528,,postmarketing,0,0.001,PT,C0948594,Musculoskeletal discomfort,FALSE,4.1
CID100000937,CID000000937,C0231528,,postmarketing,0,0.001,PT,C0231528,Myalgia,FALSE,4.1
CID100000937,CID000000937,C0026848,,postmarketing,0,0.001,PT,C0026848,Myopathy,FALSE,4.1
CID100000937,CID000000937,C0027497,,11%,0.11,0.11,PT,C0027497,Nausea,FALSE,4.1
CID100000937,CID000000937,C0027497,,4%,0.04,0.04,PT,C0027497,Nausea,FALSE,4.1
CID100000937,CID000000937,C0027497,,6%,0.06,0.06,PT,C0027497,Nausea,FALSE,4.1
CID100000937,CID000000937,C0027497,placebo,7%,0.07,0.07,PT,C0027497,Nausea,TRUE,4.1
CID100000937,CID000000937,C0027769,,postmarketing,0,0.001,PT,C0027769,Nervousness,FALSE,4.1
CID100000937,CID000000937,C0013604,placebo,0%,0,0,PT,C0013604,Oedema,TRUE,4.1
CID100000937,CID000000937,C0013604,placebo,1%,0.01,0.01,PT,C0013604,Oedema,TRUE,4.1
CID100000937,CID000000937,C0085649,,postmarketing,0,0.001,PT,C0085649,Oedema peripheral,FALSE,4.1
CID100000937,CID000000937,C0020651,,postmarketing,0,0.001,PT,C0020651,Orthostatic hypotension,FALSE,4.1
CID100000937,CID000000937,C0030193,placebo,2%,0.02,0.02,PT,C0030193,Pain,TRUE,4.1
CID100000937,CID000000937,C0030193,placebo,6%,0.06,0.06,PT,C0030193,Pain,TRUE,4.1
CID100000937,CID000000937,C0030193,placebo,7%,0.07,0.07,PT,C0030193,Pain,TRUE,4.1
CID100000937,CID000000937,C0030252,,postmarketing,0,0.001,PT,C0030252,Palpitations,FALSE,4.1
CID100000937,CID000000937,C0030252,placebo,1%,0.01,0.01,PT,C0030252,Palpitations,TRUE,4.1
CID100000937,CID000000937,C0030554,,postmarketing,0,0.001,PT,C0030554,Paraesthesia,FALSE,4.1
CID100000937,CID000000937,C0030920,,postmarketing,0,0.001,PT,C0030920,Peptic ulcer,FALSE,4.1
CID100000937,CID000000937,C0033774,,0%,0,0,PT,C0033774,Pruritus,FALSE,4.1
CID100000937,CID000000937,C0033774,,3%,0.03,0.03,PT,C0033774,Pruritus,FALSE,4.1
CID100000937,CID000000937,C0033774,placebo,2%,0.02,0.02,PT,C0033774,Pruritus,TRUE,4.1
CID100000937,CID000000937,C0015230,,0%,0,0,PT,C0015230,Rash,FALSE,4.1
CID100000937,CID000000937,C0015230,,5%,0.05,0.05,PT,C0015230,Rash,FALSE,4.1
CID100000937,CID000000937,C0015230,placebo,1%,0.01,0.01,PT,C0015230,Rash,TRUE,4.1
CID100000937,CID000000937,C0423791,,postmarketing,0,0.001,PT,C0423791,Rash maculo-papular,FALSE,4.1
CID100000937,CID000000937,C0151883,,postmarketing,0,0.001,PT,C0085641,Rash pustular,FALSE,4.1
CID100000937,CID000000937,C0035455,placebo,31%,0.31,0.31,PT,C0035455,Rhinitis,TRUE,4.1
CID100000937,CID000000937,C0039070,,postmarketing,0,0.001,PT,C0036974,Shock,FALSE,4.1
CID100000937,CID000000937,C0241057,,postmarketing,0,0.001,PT,C0241057,Skin burning sensation,FALSE,4.1
CID100000937,CID000000937,C0151907,,postmarketing,0,0.001,PT,C0151907,Skin discolouration,FALSE,4.1
CID100000937,CID000000937,C0151907,placebo,1%,0.01,0.01,PT,C0151907,Skin discolouration,TRUE,4.1
CID100000937,CID000000937,C2830004,placebo,1%,0.01,0.01,PT,C2830004,Somnolence,TRUE,4.1
CID100000937,CID000000937,C0039070,,postmarketing,0,0.001,PT,C0039070,Syncope,FALSE,4.1
CID100000937,CID000000937,C0039231,,postmarketing,0,0.001,PT,C0039231,Tachycardia,FALSE,4.1
CID100000937,CID000000937,C0039231,placebo,0%,0,0,PT,C0039231,Tachycardia,TRUE,4.1
CID100000937,CID000000937,C0027769,,postmarketing,0,0.001,PT,C0233494,Tension,FALSE,4.1
CID100000937,CID000000937,C0040264,placebo,1%,0.01,0.01,PT,C0040264,Tinnitus,TRUE,4.1
CID100000937,CID000000937,C0151610,,postmarketing,0,0.001,PT,C0040409,Tongue disorder,FALSE,4.1
CID100000937,CID000000937,C0151610,,postmarketing,0,0.001,PT,C0151610,Tongue oedema,FALSE,4.1
CID100000937,CID000000937,C0042109,,postmarketing,0,0.001,PT,C0042109,Urticaria,FALSE,4.1
CID100000937,CID000000937,C0042109,placebo,1%,0.01,0.01,PT,C0042109,Urticaria,TRUE,4.1
CID100000937,CID000000937,C0344232,,postmarketing,0,0.001,PT,C0344232,Vision blurred,FALSE,4.1
CID100000937,CID000000937,C0042963,,2%,0.02,0.02,PT,C0042963,Vomiting,FALSE,4.1
CID100000937,CID000000937,C0042963,,4%,0.04,0.04,PT,C0042963,Vomiting,FALSE,4.1
CID100000937,CID000000937,C0042963,,9%,0.09,0.09,PT,C0042963,Vomiting,FALSE,4.1
CID100000937,CID000000937,C0042963,placebo,4%,0.04,0.04,PT,C0042963,Vomiting,TRUE,4.1
CID100000942,CID000089594,C0000737,,3%,0.03,0.03,PT,C0000737,Abdominal pain,FALSE,4.1
CID100000942,CID000089594,C0000737,placebo,3%,0.03,0.03,PT,C0000737,Abdominal pain,TRUE,4.1
CID100000942,CID000089594,C0702166,,1.2%,0.012,0.012,PT,C0702166,Acne,FALSE,4.1
