sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,nearest_query_id,nearest_query_name,nearest_query_class,nearest_query_tanimoto,similarity_band,candidate_scope,biological_evidence_status,interpretation
CID100644241,nilotinib,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,L01XE08,339,CHEMBL5653589,CHEMBL5653589,network_candidate,0.5054945054945055,moderate_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
CID100005291,imatinib,5291,KTUFNOKKBVMGRW-UHFFFAOYSA-N,L01XE01,323,CHEMBL3752910,CHEMBL3752910,network_candidate,0.40425531914893614,weak_or_partial_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
CID100002118,alprazolam,2118,VREFGVBLTWBCJP-UHFFFAOYSA-N,N05BA12,199,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3333333333333333,weak_or_partial_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
CID100005556,triazolam,5556,JOFWLTCLBGQGBO-UHFFFAOYSA-N,N05CD05,90,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3116883116883117,weak_or_partial_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
CID124826799,ponatinib,24826799,PHXJVRSECIGDHY-UHFFFAOYSA-N,,179,CHEMBL3752910,CHEMBL3752910,network_candidate,0.3113207547169811,weak_or_partial_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
CID100005391,temazepam,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,N05CD07,81,CHEMBL1232461,MOLIBRESIB,network_candidate,0.3026315789473684,weak_or_partial_similarity,chemical_similarity_only,not_evaluated_in_A17C,Structurally similar under the selected Morgan fingerprint; eEF1A binding or inhibition is not established
