drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA
CHEMBL1336,SORAFENIB,Small molecule,APPROVAL,1,RAF1,Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,9,TRUE,FALSE,70,0.56,0.10256410256410256,0,0.3237927497730101
CHEMBL803,CYTARABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor,11,TRUE,FALSE,68,0.544,0.1282051282051282,0,0.30267552671806336
CHEMBL2103884,OPROZOMIB,Small molecule,PHASE_2,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,4,0.032,0.47435897435897434,0,0.28733557659907766
CHEMBL1201577,CETUXIMAB,Antibody,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,54,0.432,0,0,0.2755102040816326
CHEMBL2095222,OCRIPLASMIN,Protein,APPROVAL,1,LAMA4,Collagen hydrolytic enzyme; Fibronectin proteolytic enzyme; Laminin hydrolytic enzyme,38,TRUE,FALSE,8,0.064,0.47435897435897434,0,0.27030550564756667
CHEMBL553,ERLOTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,53,0.424,0,0,0.2690355329949239
CHEMBL220492,TOPIRAMATE,Small molecule,APPROVAL,1,SCN1A,Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator; Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker,37,TRUE,FALSE,47,0.376,0.46153846153846156,0,0.26834123361364487
CHEMBL3545432,IXAZOMIB CITRATE,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,14,0.112,0.47435897435897434,0,0.2540325383318719
CHEMBL135,ESTRADIOL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,TRUE,FALSE,50,0.4,0,0,0.25000000000000006
CHEMBL2141296,IXAZOMIB,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,19,0.152,0.47435897435897434,0,0.24698492037936387
CHEMBL451887,CARFILZOMIB,Protein,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,29,0.232,0.47435897435897434,0,0.24591760006154975
CHEMBL5315122,BORTEZOMIB D-MANNITOL,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,TRUE,FALSE,23,0.184,0.47435897435897434,0,0.2447166751462258
CHEMBL4297840,TISLELIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,49,0.392,0,0,0.2437810945273632
CHEMBL539770,TERODILINE HYDROCHLORIDE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,TRUE,FALSE,0,0,0.38461538461538464,0,0.23809523809523808
CHEMBL1200485,SORAFENIB TOSYLATE,Small molecule,APPROVAL,1,RAF1,Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,9,TRUE,FALSE,56,0.448,0.10256410256410256,0,0.237355043778604
CHEMBL4297715,CAMRELIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,47,0.376,0,0,0.2315270935960591
CHEMBL363295,TERODILINE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,TRUE,FALSE,2,0.016,0.38461538461538464,0,0.22691364024102773
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,45,0.36,0,0,0.2195121951219512
CHEMBL4297843,TORIPALIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,43,0.344,0,0,0.2077294685990338
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,14,TRUE,FALSE,51,0.408,0.16666666666666666,0,0.20337503420265463
CHEMBL4297829,SINTILIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,42,0.336,0,0,0.20192307692307693
CHEMBL24828,VANDETANIB,Small molecule,APPROVAL,1,EGFR,Ephrin receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,24,TRUE,FALSE,43,0.344,0.2948717948717949,0,0.19141573318886854
CHEMBL939,GEFITINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,TRUE,FALSE,40,0.32,0,0,0.1904761904761905
CHEMBL1237023,DENOSUMAB,Antibody,APPROVAL,1,TNFSF11,Tumor necrosis factor ligand superfamily member 11 inhibitor,1,TRUE,FALSE,39,0.312,0,0,0.1848341232227488
